code,name,city,country,latitude,longitude
ALG,Houari Boumediene Airport,Algiers,Algeria,36.6910018920898,3.21540999412537
CAI,Cairo International Airport,Cairo,Egypt,30.1219005584717,31.4055995941162
HRG,Hurghada International Airport,Hurghada,Egypt,27.1783008575439,33.7994003295898
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.97789001465,38.7993011475
ACC,Kotoka International Airport,Accra,Ghana,5.60518980026245,-0.166786000132561
NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,-1.31923997402,36.9277992249
MBA,Mombasa Moi International Airport,Mombasa,Kenya,-4.03483009338379,39.5942001342773
TIP,Tripoli International Airport,Tripoli,Libya,32.6635017395,13.1590003967
CMN,Mohammed V International Airport,Casablanca,Morocco,33.3675003051758,-7.58997011184692
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.00679016113281,7.26316976547241
QUO,Akwa Ibom International Airport,Uyo,Nigeria,4.8725,8.093
LOS,Murtala Muhammed International Airport,Lagos,Nigeria,6.57737016677856,3.32116007804871
DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,14.7397003173828,-17.4902000427246
CPT,Cape Town International Airport,Cape Town,South Africa,-33.9648017883,18.6016998291
GRJ,George Airport,George,South Africa,-34.0055999756,22.378900528
JNB,OR Tambo International Airport,Johannesburg,South Africa,-26.1392,28.246
DUR,King Shaka International Airport,Durban,South Africa,-29.6144444444,31.1197222222
JUB,Juba International Airport,Juba,South Sudan,4.87201023102,31.6011009216
KRT,Khartoum International Airport,Khartoum,Sudan,15.5895004272461,32.5531997680664
TUN,Tunis Carthage International Airport,Tunis,Tunisia,36.851001739502,10.2271995544434
NBE,Enfidha - Hammamet International Airport,Enfidha,Tunisia,36.075833,10.438611
LUN,Kenneth Kaunda International Airport Lusaka,Lusaka,Zambia,-15.3308000565,28.4526004791
